ticker,name,sector,industry,price_usd,change_pct,pe_ratio,div_yield_pct,mkt_cap_usd,52w_high,52w_low,52w_position,analyst_rating,beta,revenue_bn,profit_margin,price_to_book,debt_to_equity,roe_pct,earnings_growth
DVN,Devon Energyoration,Energy,Oil & Gas E&P,47.83,0.55,10.3,269.0,52613001216,52.71,31.47,77.0,Buy,0.42,18.8,17.5,1.32,28.49,11.52,44.0
DXCM,"DexCom,",Healthcare,Medical Devices,89.6,0.95,35.1,0.0,33811523584,91.96,54.11,93.8,Buy,1.41,5.0,20.1,12.9,53.35,38.49,43.6
FANG,"Diamondback Energy,",Energy,Oil & Gas E&P,210.02,1.81,39.4,213.0,59081424896,214.51,134.3,94.4,Buy,0.42,16.2,9.0,1.55,28.68,3.49,179.5
DLR,"Digital Realty Trust,",Real Estate,REIT - Specialty,195.25,-1.34,250.3,247.0,73550905344,208.14,146.23,79.2,Buy,1.04,6.8,11.8,2.71,67.94,2.91,-58.7
DFS,DFS,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
DG,Dollar Generaloration,Consumer Defensive,Discount Stores,120.84,0.63,17.0,197.0,26655688704,158.23,95.11,40.8,Buy,0.23,43.1,3.6,3.01,178.65,18.91,12.4
DLTR,"Dollar Tree,",Consumer Defensive,Discount Stores,130.48,0.73,20.8,0.0,25074939904,142.4,84.71,79.3,Hold,0.67,19.7,6.5,7.2,216.52,33.98,9.5
D,"Dominion Energy,",Utilities,Utilities - Regulated Electric,68.61,-0.23,23.8,388.0,60344274944,72.99,55.85,74.4,Hold,0.63,18.1,14.0,2.16,160.46,8.28,-58.0
DPZ,Domino's Pizza,Consumer Cyclical,Restaurants,336.25,0.25,19.1,237.0,11123733504,469.0,282.0,29.0,Buy,0.95,5.0,11.9,,,,6.8
DOV,Doveroration,Industrials,Specialty Industrial Machinery,203.06,-1.65,24.9,102.0,27348166656,237.54,158.97,56.1,Buy,1.16,8.4,13.5,3.55,42.32,14.91,14.1
DOW,Dow,Basic Materials,Chemicals,31.19,-0.48,17.1,447.0,22529808384,42.74,20.65,47.7,Buy,0.42,41.3,-3.1,1.42,111.91,-5.54,19.7
DHR,Danaheroration,Healthcare,Diagnostics & Research,199.58,-1.51,36.1,79.0,140301959168,242.8,160.93,47.2,Buy,0.8,25.1,15.9,2.67,52.97,7.61,59.7
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,140.21,-0.67,22.3,330.0,29176029184,155.75,126.23,47.4,Buy,0.4,16.5,8.0,2.4,229.06,11.03,22.4
DUK,Duke Energyoration (Holdin,Utilities,Utilities - Regulated Electric,123.99,0.33,18.6,351.0,96675274752,134.49,113.9,49.0,Buy,0.37,32.8,16.0,1.8,162.16,9.86,10.6
DD,"DuPont de Nemours,",Basic Materials,Specialty Chemicals,138.81,-2.98,61.4,168.0,18742044672,157.98,92.334724,70.8,Buy,1.09,7.0,0.8,1.36,22.9,1.79,149.6
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,73.0,-1.31,19.3,454.0,8345843712,83.47,56.11,61.7,Buy,1.08,8.9,5.0,1.37,88.52,7.33,32.5
ETN,"Eatonoration, PLC",Industrials,Specialty Industrial Machinery,431.33,-5.29,46.3,97.0,167485440000,478.0,311.92,71.9,Buy,1.18,30.0,12.8,8.27,105.06,19.68,-15.9
EBAY,eBay,Consumer Cyclical,Internet Retail,102.27,1.32,21.2,123.0,45510148096,119.31,78.03,58.7,Hold,1.35,12.0,18.6,9.76,153.01,46.61,55.0
ECL,Ecolab,Basic Materials,Specialty Chemicals,280.0,1.51,37.0,106.0,78492008448,309.27,243.15,55.7,Buy,0.89,16.8,12.6,7.81,138.02,21.96,3.3
EIX,Edison International,Utilities,Utilities - Regulated Electric,73.69,3.35,7.6,492.0,28356943872,81.62,52.0,73.2,Hold,0.65,19.4,19.3,1.63,228.04,19.73,55.1
EW,Edwards Lifesciencesoratio,Healthcare,Medical Devices,90.98,0.19,54.2,0.0,52386287616,96.29,72.3,77.9,Buy,0.85,6.5,15.4,4.94,6.57,9.18,-25.4
EA,Electronic Arts,Communication Services,Electronic Gaming & Multimedia,209.7,0.0,59.7,0.36,52925640704,210.2,164.5,98.9,Hold,0.64,7.8,13.8,7.77,26.43,16.46,97.5
ELV,"Elevance Health,",Healthcare,Healthcare Plans,398.27,2.06,17.3,176.0,86372532224,436.24,274.84,76.5,Buy,0.69,201.1,2.5,1.92,68.95,11.13,-13.1
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1225.73,3.6,39.7,58.0,1092563042304,1249.45,685.15,95.8,Buy,0.51,79.7,33.5,32.25,162.07,102.29,26.2
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,157.78,-2.63,34.5,137.0,88372576256,166.35,122.64,80.4,Buy,1.24,18.6,13.8,4.32,67.68,12.8,23.0
ENPH,"Enphase Energy,",Technology,Solar,37.58,-2.77,38.3,0.0,4952977408,73.74,25.78,24.6,Buy,1.65,1.3,10.1,4.2,51.9,13.0,-3.5
ETR,Entergyoration,Utilities,Utilities - Regulated Electric,108.08,-0.41,27.8,236.0,50433531904,118.45,86.4,67.6,Buy,0.49,13.5,13.3,2.77,186.77,10.25,-1.9
EOG,"EOG Resources,",Energy,Oil & Gas E&P,148.7,1.74,11.4,279.0,79201861632,151.87,101.59,93.7,Buy,0.28,26.7,25.7,2.57,25.89,22.51,109.4
EPAM,"EPAM Systems,",Technology,Information Technology Services,100.25,1.54,13.4,0.0,5171594752,222.53,73.06,18.2,Buy,1.37,5.6,7.2,1.47,4.33,11.18,26.3
EQT,EQToration,Energy,Oil & Gas E&P,53.14,0.25,12.3,125.0,33239920640,68.24,47.94,25.6,Buy,0.58,9.3,29.2,1.32,19.59,11.08,-74.0
EFX,"Equifax,",Industrials,Consulting Services,181.84,2.85,31.0,127.0,21363453952,271.84,150.75,25.7,Buy,1.3,6.4,10.7,4.88,120.96,14.27,0.7
EQIX,"Equinix,",Real Estate,REIT - Specialty,1085.09,-1.14,70.4,188.0,107067662336,1128.68,720.62,89.3,Buy,0.97,9.9,15.5,7.44,162.22,10.73,28.8
EQR,Equity Residential,Real Estate,REIT - Residential,63.66,-3.5,28.7,426.0,24609972224,71.5,57.57,43.7,Buy,0.75,3.1,28.0,2.27,78.68,8.02,-39.9
ESS,"Essex Property Trust,",Real Estate,REIT - Residential,283.71,0.23,44.1,366.0,19555049472,303.35,238.46,69.7,Hold,0.71,2.0,20.9,3.43,122.41,7.71,-71.8
EL,"Estee Lauder Companies, (T",Consumer Defensive,Household & Personal Products,84.27,-0.08,26.5,166.0,30488455168,121.64,66.22,32.6,Buy,1.25,14.8,-1.7,7.64,232.91,-5.95,-45.5
ETSY,"Etsy,",Consumer Cyclical,Internet Retail,79.96,1.98,24.8,0.0,7338868224,87.974,44.0,81.8,Hold,1.82,2.9,7.1,,,,6.2
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,367.38,0.61,7.7,219.0,14086354944,401.07,302.44,65.8,Buy,0.28,16.8,11.4,0.92,23.26,12.57,-11.5
EVRG,"Evergy,",Utilities,Utilities - Regulated Electric,83.42,0.22,21.4,331.0,19233912832,88.62,70.42,71.4,Buy,0.52,6.1,15.2,1.88,160.55,9.25,23.0
ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,72.22,0.43,15.4,438.0,27160500224,76.57,61.53,71.1,Hold,0.7,14.0,10.4,1.66,180.7,9.02,-85.4
EXC,Exelonoration,Utilities,Utilities - Regulated Electric,45.31,-0.57,16.7,369.0,46680809472,50.65,42.58,33.8,Hold,0.4,25.3,11.0,1.57,177.36,9.71,-0.2
EXPE,"Expedia Group,",Consumer Cyclical,Travel Services,321.42,0.92,20.0,60.0,38576619520,335.0,185.34,90.9,Buy,1.25,15.7,13.0,31.9,230.27,89.49,188.7
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,185.95,-1.23,27.4,86.0,24171755520,189.99,112.95,94.8,Hold,1.04,12.0,7.6,11.41,26.75,42.67,51.5
EXR,Extra Space Storage,Real Estate,REIT - Industrial,146.92,0.02,32.4,441.0,32425617408,158.88,125.71,63.9,Buy,1.19,3.5,27.3,2.34,101.67,6.95,6.0
XOM,ExxonMobil Holdingsoration,Energy,Oil & Gas Integrated,165.56,2.54,20.8,255.0,680768110592,176.41,107.68,84.2,Buy,0.17,361.1,9.1,2.62,15.92,12.58,112.8
FFIV,"F5,",Technology,Software - Infrastructure,393.62,-0.49,31.5,0.0,22289592320,435.0,223.76,80.4,N/A,1.03,3.3,22.0,5.8,6.55,19.83,11.4
FDS,FactSet Research Systems,Financial Services,Financial Data & Stock Exchanges,285.41,3.13,18.8,168.0,10150762496,387.75,185.0,49.5,Hold,0.69,2.4,23.2,5.02,77.28,27.03,-9.6
FICO,Fair Isaacoration,Technology,Software - Application,1078.12,1.29,30.9,0.0,23284842496,1998.01,870.01,18.4,Buy,1.32,2.4,34.1,,,,41.2
FAST,Fastenal Company,Industrials,Industrial Distribution,51.27,0.08,43.8,187.0,58832203776,52.92,38.97,88.2,Hold,0.71,8.7,15.5,14.46,10.85,34.33,14.6
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,117.48,-0.46,23.9,393.0,10211174400,128.21,90.03,71.9,Buy,0.93,1.3,32.7,3.19,134.11,12.55,-45.6
FDX,FedExoration,Industrials,Integrated Freight & Logistics,328.38,-0.94,17.9,147.0,77717839872,345.37,178.33199,89.8,Buy,1.36,94.7,4.7,2.49,135.7,14.85,-4.3
FIS,Fidelity National Information S,Technology,Information Technology Services,40.95,-0.53,6.3,427.0,21166200832,71.9,37.42,10.2,Buy,0.81,12.2,27.6,1.33,132.51,22.35,29.1
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,57.29,-0.54,19.4,278.0,51937566720,59.5,40.05,88.6,Buy,0.92,10.1,23.2,1.61,,8.44,-5.7
FSLR,"First Solar,",Technology,Solar,220.01,0.99,22.2,0.0,23644428288,320.95,182.99,26.8,Buy,1.75,5.4,32.5,2.29,1.88,18.51,23.3
FE,FirstEnergy,Utilities,Utilities - Regulated Electric,47.26,-0.34,25.4,392.0,27336656896,52.34,42.87,46.4,Buy,0.45,15.6,6.9,2.11,200.91,9.49,8.3
FI,FI,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
FMC,FMCoration,Basic Materials,Agricultural Inputs,10.12,-0.59,6.2,314.0,1267295616,40.84,9.95,0.6,Hold,0.41,3.3,-84.8,0.77,265.05,-88.38,-17.5
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,13.93,-0.85,7.3,427.0,55547211776,17.78,11.11,42.3,Buy,1.85,188.0,-3.9,1.56,456.71,-18.25,-3.8
FTNT,"Fortinet,",Technology,Software - Infrastructure,158.01,1.39,54.9,0.0,115934093312,172.09,73.55,85.7,Hold,1.06,7.5,28.2,74.74,36.19,117.44,43.9
FTV,Fortiveoration,Technology,Scientific & Technical Instruments,59.45,-1.96,32.1,40.0,18123988992,64.56,46.54,71.6,Hold,0.98,4.3,12.4,2.97,59.28,7.32,4.0
FOXA,Foxoration,Communication Services,Entertainment,69.03,-0.23,18.0,84.0,28968448000,76.39,48.34,73.8,Buy,0.54,17.1,9.8,2.49,64.06,14.29,3.1
FOX,Foxoration,Communication Services,Entertainment,61.23,-0.42,15.9,94.0,25695178752,68.175,44.08,71.2,N/A,0.54,17.1,9.8,2.21,64.06,14.29,3.1
BEN,"Franklin Resources,",Financial Services,Asset Management,33.99,-0.58,23.3,386.0,17269534720,36.28,21.11,84.9,Hold,1.57,9.3,8.7,1.47,24.8,7.89,106.7
FCX,"Freeport-McMoRan,",Basic Materials,Copper,66.32,-3.01,33.5,88.0,92847996928,72.28,35.15,83.9,Buy,1.38,25.9,11.4,4.74,32.15,14.75,28.1
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,297.44,-3.27,30.7,137.0,57363152896,314.28,186.67,86.8,Hold,0.87,7.7,24.5,6.36,2.51,21.89,35.3
IT,"Gartner,",Technology,Information Technology Services,182.07,1.61,16.1,0.0,11497534464,265.85,124.25,40.8,Hold,0.91,6.5,12.0,,,113.58,33.1
GE,GE Aerospace,Industrials,Aerospace & Defense,375.09,1.53,43.5,51.0,389179310080,388.84,263.81,89.0,Buy,1.37,50.6,17.7,22.06,113.22,48.23,19.4
GEHC,GE HealthCare Technologies,Healthcare,Medical Devices,72.63,0.36,16.7,19.0,33038788608,89.77,58.75,44.7,Buy,0.82,21.3,9.3,2.99,93.97,19.38,16.8
GEV,GE Vernova,Industrials,Specialty Industrial Machinery,1004.53,-6.9,28.8,19.0,267540086784,1195.94,530.16,71.3,Buy,1.03,41.4,23.0,22.38,28.36,82.58,32.8
GEN,Gen Digital,Technology,Software - Infrastructure,27.64,0.84,16.1,182.0,16544944128,31.88,17.78,69.9,Buy,1.2,5.1,20.7,6.23,307.83,41.94,64.0
GNRC,Generac Holdlings,Industrials,Specialty Industrial Machinery,211.56,-4.38,50.7,0.0,12483232768,296.44,134.8,47.5,Buy,1.93,4.4,5.8,4.34,49.0,9.49,92.0
GD,General Dynamicsoration,Industrials,Aerospace & Defense,393.48,0.6,23.9,163.0,106458841088,400.0,306.77,93.0,Buy,0.33,54.9,8.2,3.96,35.34,17.8,13.4
GIS,"General Mills,",Consumer Defensive,Packaged Foods,38.08,0.26,11.9,642.0,20358690816,51.33,31.75,32.3,Hold,-0.05,18.4,-0.5,3.68,217.63,-1.03,-14.5
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,83.71,-0.78,37.7,85.0,75711635456,91.85,54.33,78.3,Buy,1.33,185.5,1.1,1.18,202.34,3.16,-26.2
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,131.89,-0.48,527.6,321.0,18182324224,151.57,90.78,67.6,N/A,0.65,25.1,0.1,4.02,146.41,0.71,-9.8
GILD,"Gilead Sciences,",Healthcare,Drug Manufacturers - General,143.44,3.25,14.5,236.0,177859182592,157.29,108.46,71.6,Buy,0.34,30.5,-10.6,15.05,223.47,-20.68,10.2
GPN,Global Payments,Industrials,Specialty Business Services,90.37,-0.01,42.8,111.0,23913564160,95.58,61.16,84.9,Buy,0.78,10.2,-9.2,1.04,98.27,2.43,-95.2
GL,Globe Life,Financial Services,Insurance - Life,178.08,-0.74,11.9,74.0,13826978816,191.55,127.85,78.9,Buy,0.47,6.2,19.6,2.23,55.67,20.94,19.7
GDDY,GoDaddy,Technology,Software - Infrastructure,95.8,3.71,14.2,0.0,12132850688,150.47,71.59,30.7,Buy,0.92,5.1,17.8,1807.55,57334.33,442.86,29.8
GS,"Goldman Sachs Group, (The)",Financial Services,Capital Markets,1040.47,-1.03,16.1,190.0,302955102208,1153.99,705.55,74.7,Hold,1.29,67.6,31.0,2.84,725.38,16.9,92.3
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,34.66,-0.2,18.1,196.0,28954886144,43.59,20.79,60.8,Buy,0.75,22.4,7.2,2.63,74.19,14.92,16.1
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Diversified,138.96,1.65,9.6,176.0,38093221888,146.07,120.33,72.4,Buy,0.46,29.3,14.9,1.96,22.33,22.06,36.1
HAS,"Hasbro,",Consumer Cyclical,Leisure,93.99,-1.12,16.9,295.0,13256768512,106.98,69.5,65.3,Buy,0.47,5.0,16.0,18.83,531.04,159.56,16.2
HCA,"HCA Healthcare,",Healthcare,Medical Care Facilities,411.73,1.67,13.6,77.0,91338104832,556.52,353.99,28.5,Buy,1.11,78.0,8.8,,,,11.6
DOC,"Healthpeak Properties,",Real Estate,REIT - Healthcare Facilities,20.44,-0.68,58.4,593.0,14490882048,22.95,15.7,65.4,Buy,1.0,2.9,8.2,1.8,108.65,3.04,68.2
HSIC,"Henry Schein,",Healthcare,Medical Distribution,89.23,-0.32,26.1,0.0,10164793344,92.18,61.95,90.2,Buy,0.81,13.6,3.0,3.16,80.73,8.85,17.1
HSY,The Hershey Company,Consumer Defensive,Confectioners,183.45,1.32,24.8,321.0,36859813888,239.48,161.43,28.2,Buy,0.1,12.2,12.2,8.08,129.82,32.81,631.0
HES,HES,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,55.69,-3.33,52.0,99.0,73744891904,64.25,19.84,80.7,Buy,1.44,38.8,4.0,2.91,84.03,6.31,40.0
HLT,Hilton Worldwide Holdings,Consumer Cyclical,Lodging,327.74,0.5,48.1,18.0,73762775040,358.0,253.54,71.0,Buy,1.06,5.1,31.0,,,,14.1
HOLX,HOLX,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
HD,"Home Depot, (The)",Consumer Cyclical,Home Improvement Retail,337.49,-0.12,24.0,276.0,336516907008,426.75,289.1,35.2,Buy,0.96,166.6,8.4,24.25,459.36,128.38,-4.3
HON,Honeywell International,Industrials,Conglomerates,227.71,-0.76,8.8,122.0,72170405888,260.28317,195.86786,49.4,Buy,0.92,38.1,21.6,3.89,185.37,46.58,263.9
HRL,Hormel Foodsoration,Consumer Defensive,Packaged Foods,24.34,1.33,28.6,487.0,13393917952,29.35,19.7,48.1,Hold,0.33,12.2,3.8,1.69,4.24,5.83,-5.1
HST,"Host Hotels & Resorts,",Real Estate,REIT - Hotel & Motel,22.92,0.48,15.3,351.0,15923130368,25.71,15.61,72.4,Buy,1.12,6.2,16.5,2.46,85.3,15.56,8.4
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,292.65,1.22,62.5,19.0,116709228544,310.0,169.45,87.7,Buy,1.21,9.1,20.5,20.42,81.37,34.73,33.0
HPQ,HP,Technology,Computer Hardware,29.96,1.9,10.9,408.0,27399098368,32.19,17.56,84.8,Hold,1.19,57.4,4.4,,,,16.2
HUBB,Hubbell,Industrials,Electrical Equipment & Parts,483.86,-4.05,29.8,113.0,25568020480,565.4999,403.82,49.5,Buy,0.9,6.2,14.5,6.53,141.64,24.44,-0.9
HUM,Humana,Healthcare,Healthcare Plans,382.0,-0.6,36.3,92.0,45870678016,428.88,163.11,82.4,Buy,0.74,145.7,0.9,2.39,76.48,6.89,27.1
HBAN,Huntington Bancsharesorpora,Financial Services,Banks - Regional,17.66,-1.62,13.8,345.0,35680526336,19.46,14.89,60.6,Buy,0.95,9.2,26.1,1.2,,9.0,-2.9
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,317.61,-0.23,19.0,173.0,12515294208,460.0,262.66,27.8,Buy,0.24,13.2,5.0,2.36,55.25,12.97,36.5
IBM,International Business Machines,Technology,Information Technology Services,232.67,1.67,20.7,295.0,219206402048,332.46,199.19,25.1,Buy,0.7,69.1,15.5,6.36,188.97,34.46,-1.8
IEX,IDEXoration,Industrials,Specialty Industrial Machinery,234.16,-2.59,33.7,121.0,17262252032,243.8,158.19,88.7,Buy,0.98,3.6,14.5,4.32,47.06,12.96,10.9
IDXX,"IDEXX Laboratories,",Healthcare,Diagnostics & Research,553.32,1.32,38.3,0.0,43647541248,769.98,518.55,13.8,Buy,1.54,4.6,25.0,27.06,67.97,74.21,17.6
ITW,Illinois Tool Works,Industrials,Specialty Industrial Machinery,284.66,-0.91,26.0,239.0,81071169536,303.16,238.82,71.2,Hold,1.0,16.5,19.4,28.17,334.85,104.62,10.1
INCY,Incyteoration,Healthcare,Biotechnology,123.47,-0.02,15.7,0.0,25027090432,132.6,81.09,82.3,Buy,0.77,5.8,27.7,3.91,0.6,30.67,37.7
IR,Ingersoll Rand,Industrials,Specialty Industrial Machinery,80.77,-1.87,34.1,10.0,31338713088,100.96,68.07,38.6,Buy,1.16,7.9,12.1,3.08,47.9,9.47,8.5
PODD,Insuletoration,Healthcare,Medical Devices,148.03,5.96,26.2,0.0,10266502144,354.88,126.4,9.5,Buy,1.09,3.1,12.3,7.22,66.69,26.02,328.6
INTC,Inteloration,Technology,Semiconductors,96.69,-6.58,47.4,0.0,511087050752,142.35,22.78,61.8,Hold,2.24,57.0,-19.8,5.57,49.0,-10.71,25.4
ICE,Intercontinental Exchange,Financial Services,Financial Data & Stock Exchanges,156.18,1.21,22.1,135.0,87678590976,181.72,121.79,57.4,Buy,0.93,10.6,38.2,3.0,69.23,14.09,14.2
IFF,International Flavors & Fragran,Basic Materials,Specialty Chemicals,81.0,-1.01,20.5,196.0,20679581696,89.32,59.14,72.4,Buy,0.94,10.8,2.6,1.48,44.82,-5.55,-91.6
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,40.05,-0.52,13.4,460.0,21209274368,50.25,29.26,51.4,Buy,0.89,24.2,-14.2,1.47,68.51,-16.48,-2.2
IPG,IPG,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
INTU,Intuit,Technology,Software - Application,350.41,4.41,20.5,143.0,95850094592,705.1,252.84,21.6,Buy,0.96,20.9,21.9,4.66,33.45,22.5,10.7
ISRG,"Intuitive Surgical,",Healthcare,Medical Instruments & Supplies,391.18,0.22,45.0,0.0,140151209984,603.88,328.57,22.7,Buy,1.46,11.0,28.4,7.62,,17.42,26.5
IVZ,Invesco Ltd,Financial Services,Asset Management,32.38,-0.58,10.0,264.0,14295770112,32.8,20.48,96.6,Buy,1.6,6.9,-0.9,1.44,12.06,-0.57,20.5
INVH,Invitation Homes,Real Estate,REIT - Residential,29.72,0.1,27.3,404.0,17654927360,31.378,24.25,76.7,Buy,0.84,2.8,23.2,1.94,94.42,7.05,60.5
IQV,"IQVIA Holdings,",Healthcare,Diagnostics & Research,240.03,-0.5,30.0,0.0,39508938752,251.36,154.5,88.3,Buy,1.18,17.0,8.1,6.4,257.98,22.82,-0.6
IRM,Iron Mountainorporated (Del,Real Estate,REIT - Specialty,126.67,-2.49,91.8,266.0,37710016512,134.68,77.77,85.9,Buy,1.22,7.6,5.5,,,,18.5
JBAL,JBAL,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
JKHY,"Jack Henry & Associates,",Technology,Information Technology Services,153.12,2.17,20.9,159.0,10879295488,193.39,121.04,44.3,Buy,0.55,2.5,20.6,5.11,6.4,24.89,12.5
J,Jacobs Solutions,Industrials,Engineering & Construction,142.86,-0.54,47.6,100.0,16869035008,168.44,105.68,59.2,Buy,0.67,14.2,2.4,5.13,124.73,8.0,-25.4
JBL,Jabil,Technology,Electronic Components,338.62,-8.45,46.3,9.0,35483004928,428.93,189.6,62.3,N/A,1.3,33.6,2.6,26.83,297.14,65.88,27.6
JNPR,JNPR,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,363.25,0.63,15.5,166.0,965586124800,366.5,279.1,96.3,Buy,0.98,186.3,34.9,2.73,,17.79,46.9
JNPR,JNPR,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
K,K,Other,,0.0,0.0,,0.0,0,,,,N/A,,,0.0,,,,0.0
KVUE,Kenvue,Consumer Defensive,Household & Personal Products,18.8,0.05,22.1,447.0,36110540800,21.845,14.02,61.1,Hold,0.43,15.4,10.8,3.42,81.62,15.58,8.5
KDP,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic,30.79,1.68,30.5,304.0,41899831296,35.94,24.88,53.4,Buy,0.41,20.1,7.1,1.66,99.65,5.1,-90.0
KEY,KeyCorp,Financial Services,Banks - Regional,22.79,-1.09,13.5,356.0,24431679488,24.07,16.47,83.2,Buy,1.03,7.4,27.5,1.41,,10.33,25.3
KEYS,Keysight Technologies,Technology,Scientific & Technical Instruments,341.0,-5.58,58.1,0.0,58275315712,374.963,152.846,84.7,Buy,1.21,6.1,17.3,9.2,43.64,18.17,35.6
KMB,Kimberly-Clarkoration,Consumer Defensive,Household & Personal Products,107.72,-0.18,21.3,474.0,35756613632,136.17,92.42,35.0,Buy,0.28,16.6,11.8,20.47,348.93,104.91,-32.3
KIM,Kimco Realtyoration (HC),Real Estate,REIT - Retail,24.22,-0.57,28.5,460.0,16246517760,26.65,19.76,64.7,Buy,0.97,2.2,27.8,1.58,84.99,5.81,-5.8
KMI,"Kinder Morgan,",Energy,Oil & Gas Midstream,32.87,1.67,20.9,365.0,73130024960,34.81,25.6,78.9,Buy,0.55,18.0,19.3,2.31,98.62,10.99,21.2
KLAC,KLAoration,Technology,Semiconductor Equipment & Materials,194.79,-5.33,56.1,45.0,254502240256,307.37,83.224,49.8,Buy,1.46,13.6,35.6,40.08,96.88,87.5,13.8
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,24.82,0.28,11.9,646.0,29432145920,28.1,21.035,53.6,Hold,0.08,24.9,-13.6,0.82,52.59,-8.76,-1.4
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,56.34,0.48,32.9,257.0,34516549632,76.58,54.15,9.8,Buy,0.41,148.6,0.7,6.09,373.45,13.78,13.2
LHX,"L3Harris Technologies,",Industrials,Aerospace & Defense,279.54,0.42,28.2,180.0,52054437888,379.23,262.68,14.5,Buy,0.75,12.9,10.4,2.72,34.57,,-6.1
LH,Labcorp Holdings,Healthcare,Diagnostics & Research,322.18,-0.36,26.7,89.0,26128797696,329.47,244.52,91.4,Buy,0.84,14.3,7.0,3.03,79.12,11.73,28.2
LRCX,Lam Researchoration,Technology,Semiconductor Equipment & Materials,327.92,-4.63,59.5,30.0,410333184000,438.5,94.11,67.9,Buy,1.86,23.2,31.3,32.9,33.05,65.07,34.8
LW,"Lamb Weston Holdings,",Consumer Defensive,Packaged Foods,51.98,-0.97,25.2,290.0,7146374144,67.07,37.62,48.8,N/A,0.46,6.6,4.4,3.92,221.22,16.28,-6.2
LVS,Las Vegas Sands,Consumer Cyclical,Resorts & Casinos,45.47,0.09,17.6,264.0,29450973184,70.45,44.21,4.8,Buy,0.83,13.7,12.6,50.69,1703.9,122.87,-19.8
LDOS,"Leidos Holdings,",Technology,Information Technology Services,143.48,0.86,13.3,121.0,18047696896,205.77,98.86,41.7,Buy,0.55,17.6,7.8,3.41,123.28,27.78,-6.7
LEN,Lennaroration,Consumer Cyclical,Residential Construction,84.94,-1.85,13.6,231.0,20461633536,144.24,79.83,7.9,Hold,1.4,32.7,4.9,0.95,28.69,7.37,-31.5
LIN,Linde plc,Basic Materials,Specialty Chemicals,478.7,0.92,30.6,135.0,220673507328,548.2,387.78,56.7,Buy,0.73,35.4,20.4,5.65,68.95,18.4,11.3
LYV,"Live Nation Entertainment,",Communication Services,Entertainment,179.84,-2.49,95.2,0.0,41895436288,189.25,125.34,85.3,Buy,1.12,26.3,0.5,503.75,620.21,17.68,156.2
LKQ,LKQoration,Consumer Cyclical,Auto Parts,25.15,-1.18,14.0,471.0,6363002368,37.13,21.17,24.9,Buy,0.83,13.7,3.4,0.99,82.11,7.13,-29.0
LMT,Lockheed Martinoration,Industrials,Aerospace & Defense,607.17,2.26,21.9,232.0,140129222656,692.0,437.25,66.7,Hold,0.11,77.0,8.2,15.93,234.24,89.17,443.8
L,Loewsoration,Financial Services,Insurance - Property & Casualty,112.45,0.06,13.8,22.0,22987894784,121.01,95.1,67.0,N/A,0.52,18.7,9.0,1.2,44.61,9.31,15.6
LOW,"Lowe's Companies,",Consumer Cyclical,Home Improvement Retail,215.64,-0.08,18.2,232.0,120974041088,293.06,199.4,17.3,Buy,0.85,88.4,7.5,,,,-0.7
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,119.01,2.83,9.6,0.0,13514052608,225.98,104.44,12.0,Hold,0.86,11.2,13.0,2.82,44.26,32.03,-35.0
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,65.33,0.93,10.2,426.0,21104070656,83.94,41.58,56.1,Hold,0.35,31.2,-1.1,1.98,132.76,-2.27,396.0
